;Model;co2
617;488 Spider;495.0
618;488 Pista Spider;531.0
619;F-Type S Coupe;485.0
620;MKC FWD;390.0
621;Sportage AWD;424.0
622;Boxster;353.0
623;911 Carrera;355.0
624;911 Carrera S Cabriolet;367.0
625;911 Carrera 4 Cabriolet;370.0
626;911 Carrera 4S;392.0
627;911 Carrera 4 GTS Cabriolet;419.0
628;911 Carrera 4 GTS Cabriolet;402.0
629;911 Carrera T;399.0
630;MKT Livery AWD;491.0
631;Flex AWD;494.0
632;Cayman;353.0
633;Cayman S;401.0
634;911 Carrera GTS;418.0
635;XF AWD;390.0
636;Impreza 4-Door;331.0
637;T10 (S10) Blazer 4WD;423.19
638;XTS;408.0
639;Impala;409.0
640;XJ;416.0
641;Golf/GTI;341.81
642;T10 (S10) Blazer 4WD;444.35
643;XJL AWD;450.0
644;Impreza Sport 5-Door;292.0
645;XTS Hearse;521.0
646;QX60 FWD;399.0
647;QX60 AWD;410.0
648;Crosstrek AWD;301.0
649;T10 (S10) Blazer 4WD;555.44
650;F150 Pickup 4WD;463.0
651;F150 4WD BASE PAYLOAD LT TIRE;463.0
652;Panamera 4 e-Hybrid;260.0
653;Spark;271.0
654;Corolla LE Eco;271.0
655;V90 AWD;359.0
656;Encore;312.0
657;XT5;405.0
658;Terrain FWD;369.0
659;Equinox AWD;334.0
660;XC90 FWD;365.0
661;Escalade 4WD;535.0
662;Suburban K1500 4WD;541.0
663;Suburban K1500 4WD;553.0
664;Yukon K1500 XL 4WD;541.0
665;Yukon K1500 4WD;513.0
666;Yukon K1500 XL 4WD;553.0
667;Pathfinder 4WD;555.44
668;Mustang;355.0
669;Mustang Bullitt;490.0
670;Corolla Hatchback;249.0
671;Corolla Hatchback XSE;266.0
672;Acadia FWD;430.0
673;Spark ACTIV;271.0
674;Terrain FWD;321.0
675;Eclipse Cross 2WD;338.0
676;X4 xDrive30i;360.0
677;911 GT3;522.0
678;911 Turbo Cabriolet;430.0
679;AW100/AW150 Ramcharger 4WD;807.91
680;Elantra SE;272.0
681;Elantra;281.0
682;Transit Connect Van 2WD;396.0
683;Outback AWD;320.0
684;Ioniq Electric;0.0
685;Colorado 2WD;406.0
686;Canyon 2WD;403.0
687;1500 4WD;473.0
688;Pilot FWD;405.0
689;XC60 AWD PHEV;210.0
690;ATS;396.0
691;ATS;352.0
692;CTS-V;543.0
693;500 L;356.0
694;HR-V AWD;311.0
695;Silverado K10 4WD TrailBoss;508.0
696;QX80 2WD;547.0
697;230i Coupe;356.0
698;230i xDrive Coupe;326.0
699;M240i Coupe M Performance;413.0
700;M240i Coupe;367.0
701;M240i Convertible;367.0
702;M2 Competition;470.0
703;M4 Convertible Competition;450.0
704;Camaro;354.0
705;Beetle Convertible;308.0
706;Bronco 4WD;592.47
707;XF AWD;299.0
708;Stinger RWD;365.0
709;Stinger RWD;446.0
710;Forte FE;256.0
711;Bronco 4WD;740.58
712;Canyon 2WD;435.0
713;Sierra C10 2WD;471.0
714;MDX FWD;387.0
715;X6 sDrive35i;433.0
716;Bronco 4WD;683.62
717;Aventador Coupe;784.0
718;86;328.0
719;Ghibli V6 SQ4 AWD;474.0
720;Sonata SE;306.0
721;Tundra 4WD FFV;606.0
722;Tundra 4WD;615.0
723;Sienna 2WD;408.0
724;Compass FWD;339.0
725;530e;193.0
726;CLA250 4matic;328.0
727;Sentra Nismo;330.0
728;Range Rover Evoque Cabriolet;371.0
729;Range Rover SVA;468.0
730;Cruze Premier Hatchback;286.0
731;Escalade 2WD;517.0
732;Tahoe C1500 2WD;517.0
